Timestamp,User ID,Purchase Amount,Commission,Track,Signup Date,Country,User UID
"september 08 2021, 00:24",51195324,99.99,20.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"september 07 2021, 17:55",51767978,99.99,20.00,embed,"november 29 2017, 20:52",US,0J43GML
"september 06 2021, 17:18",49492026,79.99,16.00,embed,"augustus 16 2017, 13:01",US,5HP5XZ5
"september 05 2021, 21:24",51195324,159.99,32.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"september 03 2021, 07:00",50528406,19.95,3.99,embed,"oktober 03 2017, 11:23",US,40YN24L
"september 02 2021, 07:45",51767978,49.99,10.00,embed,"november 29 2017, 20:52",US,0J43GML
"september 01 2021, 16:00",51767978,49.99,10.00,embed,"november 29 2017, 20:52",US,0J43GML
"september 01 2021, 01:10",51195324,159.99,32.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"augustus 30 2021, 17:12",51767978,99.99,20.00,embed,"november 29 2017, 20:52",US,0J43GML
"augustus 30 2021, 14:45",51195324,159.99,32.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"augustus 29 2021, 08:10",51195324,159.99,32.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"augustus 28 2021, 16:24",51195324,159.99,32.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"augustus 27 2021, 23:45",51195324,99.99,20.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"augustus 27 2021, 05:18",51195324,99.99,20.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"augustus 26 2021, 23:35",51195324,159.99,32.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"augustus 25 2021, 21:18",51767978,99.99,20.00,embed,"november 29 2017, 20:52",US,0J43GML
"augustus 24 2021, 22:54",51195324,159.99,32.00,embed,"november 03 2017, 13:46",US,DJTYEBL
"augustus 24 2021, 11:18",52332163,62.99,12.60,embed,"december 26 2017, 08:49",DE,TS00TDL
"augustus 24 2021, 11:00",52332163,49.99,10.00,embed,"december 26 2017, 08:49",DE,TS00TDL
"augustus 24 2021, 10:05",52332163,49.99,10.00,embed,"december 26 2017, 08:49",DE,TS00TDL
"augustus 23 2021, 13:10",55243681,79.99,16.00,embed,"mei 01 2018, 21:05",US,XT842BV
"augustus 22 2021, 16:48",51767978,99.99,20.00,embed,"november 29 2017, 20:52",US,0J43GML
